A,B
1,14
1,12
1,1
1,10
1,16
2,16
2,2
2,17
2,18
2,11
3,17
3,20
3,8
4,16
4,1
4,10
5,4
5,8
5,16
6,14
6,17
6,13
6,4
7,10
7,14
7,13
7,17
7,18
8,14
8,5
8,6
8,3
8,19
9,13
9,12
9,16
10,15
10,3
10,10
10,2
10,4
11,11
11,12
11,14
12,16
12,12
12,6
13,19
13,3
13,17
14,13
14,18
14,2
14,9
15,3
15,8
15,5
16,15
16,2
16,4
16,10
16,1
17,6
17,2
17,12
17,4
17,7
18,1
18,4
18,19
18,7
19,6
19,13
19,1
20,3
20,5
20,14
21,14
21,5
21,4
21,11
22,1
22,5
22,14
23,13
23,1
23,9
23,4
24,13
24,10
24,2
24,7
25,7
25,10
25,20
25,12
25,17
26,14
26,1
26,9
26,2
27,14
27,15
27,8
28,10
28,13
28,2
29,16
29,19
29,17
30,17
30,15
30,18
30,1
31,19
31,9
31,10
31,3
32,3
32,1
32,14
33,20
33,6
33,16
33,9
34,4
34,15
34,20
35,4
35,3
35,13
35,18
35,8
36,7
36,12
36,1
36,15
37,5
37,13
37,16
37,4
37,14
38,19
38,13
38,3
38,14
38,16
39,7
39,14
39,6
39,4
40,9
40,19
40,11
40,2
40,14
41,14
41,16
41,4
41,11
41,3
42,16
42,8
42,4
43,6
43,11
43,19
43,1
43,18
44,2
44,8
44,3
45,1
45,9
45,4
46,20
46,4
46,11
46,9
46,6
47,12
47,9
47,19
47,18
48,5
48,4
48,9
48,18
49,9
49,13
50,16
50,8
50,6
50,20
51,17
52,18
52,8
52,12
52,1
53,18
53,3
53,12
53,5
53,8
54,8
54,2
54,7
54,15
54,6
55,15
55,17
55,13
55,4
56,12
56,19
56,16
57,11
57,8
57,9
58,4
58,15
59,17
59,5
59,10
59,4
60,17
60,7
60,2
61,17
62,17
62,1
63,11
63,2
63,17
63,20
64,15
65,14
65,7
65,20
65,19
66,14
67,1
67,11
67,13
67,10
67,8
68,6
68,18
68,19
69,7
69,20
69,15
70,9
70,14
71,18
71,1
71,3
71,5
72,19
72,6
73,6
73,13
73,4
73,16
73,15
74,2
75,10
75,19
75,4
75,11
75,20
76,1
77,2
77,5
78,8
78,2
79,10
79,19
79,3
80,20
81,9
81,11
81,13
81,17
81,19
82,4
82,9
83,14
84,6
84,20
84,17
84,10
84,5
85,4
85,12
85,6
85,17
85,19
86,9
87,17
87,5
88,12
88,11
89,18
90,16
91,11
91,14
91,12
91,7
91,4
92,14
92,7
92,4
92,6
93,8
93,2
93,9
93,1
93,6
94,16
94,1
94,7
95,17
96,3
96,16
96,19
97,16
97,14
98,12
98,16
98,17
98,7
99,7
99,12
100,16
101,8
102,8
102,6
102,18
102,3
102,13
103,6
104,6
105,2
105,7
105,12
105,5
105,6
106,18
106,19
106,5
107,20
107,1
108,13
108,9
108,12
108,5
109,15
110,14
110,5
110,18
110,16
111,1
111,19
111,13
111,16
112,17
112,14
113,12
113,11
113,15
114,20
114,18
115,20
116,3
117,10
118,6
118,5
119,20
119,13
120,13
120,1
120,14
120,9
121,11
121,4
122,5
123,19
124,4
125,14
125,5
125,12
125,19
126,6
126,7
127,8
127,9
128,14
128,9
128,11
128,18
129,13
129,2
129,20
130,10
130,5
130,16
130,7
130,8
131,9
131,6
132,12
132,14
133,1
133,17
133,5
133,8
134,6
134,4
134,19
134,13
134,14
135,1
135,17
136,1
137,11
138,4
138,14
138,12
139,19
139,6
139,8
139,7
139,9
140,8
141,15
141,14
142,16
142,5
143,5
143,13
143,6
143,20
143,10
144,15
144,16
144,2
145,3
145,9
145,17
145,11
146,18
146,7
146,1
146,6
146,12
147,1
147,5
147,9
147,12
147,4
148,16
148,10
149,13
149,1
149,12
149,9
149,4
150,18
150,8
151,20
152,19
152,12
153,11
153,16
153,18
153,19
154,2
154,5
154,15
154,3
