id,name,scope,storeId,phoneNumber,email,address,status,description,contactPerson,createdAt,updatedAt
1,Koperasi Mitra Logistik G,GLOBAL,,628964055951,koperasimitralogistikg@yahoo.com,"Gg. Antapani Lama No. 25
Palu, Kalimantan Utara 45560",ACTIVE,Quis animi dolore. Omnis accusantium ab labore recusandae.,Unggul Dabukke,2025-10-04 06:55:48.605432,2025-11-28 06:55:48.605432
2,Koperasi Global Sejati G,GLOBAL,,628388608530,koperasiglobalsejatig@yahoo.com,"Jalan Moch. Ramdan No. 56
Tebingtinggi, Kalimantan Timur 27646",ACTIVE,Culpa quod sunt qui eligendi repudiandae. Ratione delectus exercitationem quae labore.,Gading Maulana,2025-08-24 06:55:48.605432,2025-11-28 06:55:48.605432
3,PT. Prima Pangan G,GLOBAL,,62822409187432,ptprimapangang60@gmail.com,"Gg. Jend. Sudirman No. 664
Pematangsiantar, Maluku 15943",ACTIVE,Aliquid inventore neque similique. Nostrum quia ipsum dolorum aliquam asperiores cum deserunt.,Darimin Budiman,2025-10-21 06:55:48.605432,2025-11-28 06:55:48.605432
4,UD. Sakti Pangan G,GLOBAL,,628172379637,udsaktipangang@bisnisanda.com,"Jl. Sentot Alibasa No. 063
Banda Aceh, Gorontalo 34703",ACTIVE,Ea voluptas aspernatur unde dolorum. Ab itaque maiores sapiente.,Rahman Suwarno,2025-09-12 06:55:48.605432,2025-11-28 06:55:48.605432
5,CV. Mitra Unggul G,GLOBAL,,6288208631736,cvmitraunggulg@posku.id,"Jl. Rajawali Barat No. 86
Tanjungbalai, BA 07646",ACTIVE,Sint in assumenda nemo perspiciatis qui quaerat eligendi.,Prasetyo Sinaga,2025-09-13 06:55:48.605432,2025-11-28 06:55:48.605432
6,UD. Bintang Mandiri G,GLOBAL,,6287831590707,udbintangmandirig91@posku.id,"Gg. M.T Haryono No. 86
Probolinggo, GO 85983",ACTIVE,Aspernatur tenetur iste est. Est nam molestiae ad. Rem natus eaque beatae.,Samiah Rahimah,2025-10-06 06:55:48.605432,2025-11-28 06:55:48.605432
7,UD. Lestari Sejati G,GLOBAL,,62877321030617,udlestarisejatig@yahoo.com,"Jalan Rajawali Timur No. 7
Bandar Lampung, Papua 38121",ACTIVE,Corrupti eveniet voluptas asperiores assumenda. Ab enim error mollitia.,Bancar Putra,2025-08-28 06:55:48.605432,2025-11-28 06:55:48.605432
8,PT. Cipta Pangan G,GLOBAL,,62832136764,ptciptapangang@mail.com,"Jl. K.H. Wahid Hasyim No. 934
Pangkalpinang, JA 82638",ACTIVE,Necessitatibus cupiditate aliquid repellat. Libero eligendi minima sapiente.,Prabowo Nashiruddin,2025-11-18 06:55:48.605432,2025-11-28 06:55:48.605432
9,PT. Sinar Logistik G,GLOBAL,,628385285055,ptsinarlogistikg@posku.id,"Gang Kebonjati No. 00
Purwokerto, NB 82121",ACTIVE,Soluta eos ipsam deleniti. Consequatur deleniti quod at vitae.,Irnanto Sihombing,2025-10-01 06:55:48.605432,2025-11-28 06:55:48.605432
10,Koperasi Lestari Unggul G,GLOBAL,,62889725665,koperasilestariunggulg@bisnisanda.com,"Gg. Rajawali Barat No. 230
Kota Administrasi Jakarta Timur, KR 44050",ACTIVE,Quam eligendi odio ipsam. Cum iste nostrum minus.,Tugiman Lazuardi,2025-09-04 06:55:48.605432,2025-11-28 06:55:48.605432
